Watchlist 'Internals & Indicators'

Internals & Indicators
Symbol,Description,Mark,Mark %Change,RS50
$ADD,NYSE Advancing Issues - Declining Issues Difference,574.000,-148.15%,-1.96
$ADVN,NYSE Advanced issues,1607.000,+113.13%,0.55
$DECN,NYSE Declined issues,1033.000,-46.92%,-0.37
$DVOL,NYSE Declined volume,445058.000,-48.99%,-0.39
$TICK,NYSE TICK,-468.000,+387.50%,0.59
$TRIN,NYSE TRIN,1.070,+15.05%,0.35
$TVOL,NYSE Total volume,1101321.000,-11.73%,-0.17
$UNCN,NYSE Unchanged issues,108.000,+107.69%,0.2
$UVOL,NYSE Advanced volume,646769.000,+77.72%,0.11
$VOLD,NYSE Up Volume - Down Volume Difference,201710409.000,-139.66%,-2.43
$ADDC,NYSE Composite Advancing Issues - Declining Issues Difference,694.000,-153.97%,-1.98
$ADVNC,NYSE Composite Advanced issues,1785.000,+115.58%,0.62
$DECNC,NYSE Composite Declined issues,1091.000,-48.39%,-0.4
$DVOLC,NYSE Composite Declined volume,2097857.000,-47.24%,-0.35
$TICKC,NYSE Composite TICK,-505.000,+591.78%,0.44
$TRINC,NYSE Composite TRIN,1.260,+20.00%,0.46
$TVOLC,NYSE Composite Total volume,4849144.000,-11.78%,-0.14
$UNCNC,NYSE Composite Unchanged issues,113.000,+113.21%,0.24
$UVOLC,NYSE Composite Advanced volume,2718085.000,+84.10%,0.19
$VOLDC,NYSE Composite Up Volume - Down Volume Difference,620228197.220,-124.81%,-1.65
$ADAD,NYSE MKT (AMEX) Advancing Issues - Declining Issues Difference,-80.000,-31.03%,0.86
$ADVA,NYSE MKT (AMEX) Advanced issues,97.000,+22.78%,-0.14
$DECA,NYSE MKT (AMEX) Declined issues,177.000,-9.23%,0.13
$DVOA,NYSE MKT (AMEX) Declined volume,10504.000,-7.62%,-0.24
$TICKA,NYSE MKT (AMEX) TICK,-33.000,-29.79%,-33.95
$TRINA,NYSE MKT (AMEX) TRIN,2.090,+216.67%,0.88
$TVOA,NYSE MKT (AMEX) Total volume,14093.000,-23.75%,-0.41
$UNCA,NYSE MKT (AMEX) Unchanged issues,13.000,0.00%,-0.35
$UVOA,NYSE MKT (AMEX) Advanced volume,2754.000,-60.39%,-0.7
$VOLAD,NYSE MKT (AMEX) Up Volume - Down Volume Difference,-7750551.000,+75.42%,0.6
$ADADC,NYSE MKT (AMEX) Composite Advancing Issues - Declining Issues Difference,-82.000,-27.43%,0.9
$ADVAC,NYSE MKT (AMEX) Composite Advanced issues,96.000,+18.52%,-0.15
$DECAC,NYSE MKT (AMEX) Composite Declined issues,178.000,-8.25%,0.14
$DVOAC,NYSE MKT (AMEX) Composite Declined volume,246565.000,+43.47%,0.14
$TICKAC,NYSE MKT (AMEX) Composite TICK,-47.000,+11.90%,-16.64
$TRINAC,NYSE MKT (AMEX) Composite TRIN,3.080,+805.88%,4.49
$TVOAC,NYSE MKT (AMEX) Composite Total volume,315412.000,-18.10%,-0.38
$UNCAC,NYSE MKT (AMEX) Composite Unchanged issues,14.000,+7.69%,-0.3
